,AnimalClass,syptom_description,Dangerous
0,собака,"Высокая температура, Диарея, Рвота, Потеря веса, Обезвоживание",1
1,собака,"Высокая температура, Диарея, Кашель, Усталость, Боли",1
2,собака,"Высокая температура, Диарея, Кашель, Рвота, Анорексия",1
3,собака,"Высокая температура, Трудности дыхание, Кашель, Летаргия, Чихание",1
4,собака,"Высокая температура, Диарея, Кашель, Летаргия, Синий глаз",1
5,собака,"Высокая температура, Респираторный дистресс, Припадки, Гиперестезия, Внезапная смерть",1
6,собака,"Язвы, Диарея, Плохой аппетит, Тарри -стул, Увеличенные лимфатические узлы",1
7,собака,"Отек лица, Кровавый слюни, Неловкий дыхание, Невозможно поесть, Утраченные зубы",1
8,собака,"Высокая температура, Трудности дыхание, Жажда и мочеиспускание, Потеря веса, Увеличенные лимфатические узлы или отек",1
9,собака,"Отек на ноге, Болезненный, Носовая выделение, Сломанные кости, Носовая выделение",1
10,собака,"Краткосрочная летаргия, Потеря аппетита, Слабость в задних ногах, Быстрая частота сердечных сокращений, Недельный пульс",1
11,собака,"Опухшие лимфатические узлы, Трудность ходьбы, Боль в спине, Летаргия, Вагинальный разряд",1
12,собака,"Высокая температура, Диарея, Боль в животе, Жесткость, Сильная слабость и депрессия",1
13,собака,"Высокая температура, Потеря аппетита, Уменьшить энергию, Хромота, Обухание суставов",1
14,собака,"Высокая температура, Хроническое воспаление глаз, Плохой аппетит, Летаргия, Неврологические отклонения",1
15,собака,"Высокая температура, Отек лица или ноги, Плохой аппетит, Депрессия, Боли",1
16,собака,"Диарея с слизью, Тенсмус, Водянистый стул, Метеоризм, Боли",1
17,собака,"Сильный кашель, Насморк, Чихание, Летаргия, Потеря аппетита",1
18,собака,"Высокая температура, Воспаленный глаз, Кашель, Депрессия, Хромающий",1
19,собака,"Высокая температура, Трудности дыхание, Кашель, Изменение глаз и кожи, Невозможно заниматься спортом",1
20,собака,"Высокая температура, Потеря аппетита, Кашель, Летаргия, Боль в суставах",1
21,собака,"Поражения в носовой полости, Поражения на носу, Нос кровотечение, Шумное дыхание, Поражения на носу",1
22,собака,"Выпадение волос, Перхоть, Затемненная кожа, Кора кожи, Изъязвленная кожа",1
