AnimalName,symptoms1,symptoms2,symptoms3,symptoms4,symptoms5,Dangerous,AnimalClass,Симптомы_рус
dog,Fever,Diarrhea,Vomiting,Weight loss,Dehydration,Yes,собака,"Высокая температура, Диарея, Рвота, Потеря веса, Обезвоживание"
dog,Fever,Diarrhea,Coughing,Tiredness,Pains,Yes,собака,"Высокая температура, Диарея, Кашель, Усталость, Боли"
dog,Fever,Diarrhea,Coughing,Vomiting,Anorexia,Yes,собака,"Высокая температура, Диарея, Кашель, Рвота, Анорексия"
dog,Fever,Difficulty breathing,Coughing,Lethargy,Sneezing,Yes,собака,"Высокая температура, Трудности дыхание, Кашель, Летаргия, Чихание"
dog,Fever,Diarrhea,Coughing,Lethargy,Blue Eye,Yes,собака,"Высокая температура, Диарея, Кашель, Летаргия, Синий глаз"
dog,Fever,Respiratory distress,Seizuers,Hyperesthesia,Sudden death,Yes,собака,"Высокая температура, Респираторный дистресс, Припадки, Гиперестезия, Внезапная смерть"
dog,Ulcers,Diarrhea,Poor Appetite,Tarry Stool,Enlarged lymph nodes,Yes,собака,"Язвы, Диарея, Плохой аппетит, Тарри -стул, Увеличенные лимфатические узлы"
dog,Facial Swelling,Bloody Drool,Foul Breath,Unable To Eat,Lossened Teeth,Yes,собака,"Отек лица, Кровавый слюни, Неловкий дыхание, Невозможно поесть, Утраченные зубы"
dog,Fever,Difficulty breathing,Thrist and urination,Weight loss,Enlarged lymph nodes or Swelling,Yes,собака,"Высокая температура, Трудности дыхание, Жажда и мочеиспускание, Потеря веса, Увеличенные лимфатические узлы или отек"
dog,Swelling on leg,Painfull,Nasal Discharge,Broken Bones,Nasal Discharge,Yes,собака,"Отек на ноге, Болезненный, Носовая выделение, Сломанные кости, Носовая выделение"
dog,Short term lethargy,Loss of  appetite,Weekness in the back legs,Rapid Heart Rate,Week pulse,Yes,собака,"Краткосрочная летаргия, Потеря аппетита, Слабость в задних ногах, Быстрая частота сердечных сокращений, Недельный пульс"
dog,Swollen lymph nodes,Difficulty walking,Back Pain,Lethargy,Vaginal Discharge,Yes,собака,"Опухшие лимфатические узлы, Трудность ходьбы, Боль в спине, Летаргия, Вагинальный разряд"
dog,Fever,Diarrhea,Abdominal pain,Stiffness,Severe weekness and depression,Yes,собака,"Высокая температура, Диарея, Боль в животе, Жесткость, Сильная слабость и депрессия"
dog,Fever,Loss of  appetite,Reduce Energy,Lameness,Swelling of joints,Yes,собака,"Высокая температура, Потеря аппетита, Уменьшить энергию, Хромота, Обухание суставов"
dog,Fever,Chronic eye inflamation,Poor Appetite,Lethargy,Neurologic abnormalities,Yes,собака,"Высокая температура, Хроническое воспаление глаз, Плохой аппетит, Летаргия, Неврологические отклонения"
dog,Fever,Swelling of face or leg,Poor Appetite,Depression,Pains,Yes,собака,"Высокая температура, Отек лица или ноги, Плохой аппетит, Депрессия, Боли"
dog,Diarrhea with muscus,Tensemus,Watery Stool,Flatulence,Pains,Yes,собака,"Диарея с слизью, Тенсмус, Водянистый стул, Метеоризм, Боли"
dog,Strong cough,Runny nose,Sneezing,Lethargy,Loss of appettite,Yes,собака,"Сильный кашель, Насморк, Чихание, Летаргия, Потеря аппетита"
dog,Fever,Inflammed eye,Coughing,Depression,Limping,Yes,собака,"Высокая температура, Воспаленный глаз, Кашель, Депрессия, Хромающий"
dog,Fever,Difficulty breathing,Coughing,Eye and Skin change,Unable to exercise,Yes,собака,"Высокая температура, Трудности дыхание, Кашель, Изменение глаз и кожи, Невозможно заниматься спортом"
dog,Fever,Loss of  appetite,Coughing,Lethargy,Joint Pain,Yes,собака,"Высокая температура, Потеря аппетита, Кашель, Летаргия, Боль в суставах"
dog,Lesions in the nasal cavity,Lesions on nose,Nose Bleeds,Noisy Breathing,Lesions on nose,Yes,собака,"Поражения в носовой полости, Поражения на носу, Нос кровотечение, Шумное дыхание, Поражения на носу"
dog,Hair loss,Dandruff,Darkened skin,Crusting of the skin,Ulcerated skin,Yes,собака,"Выпадение волос, Перхоть, Затемненная кожа, Кора кожи, Изъязвленная кожа"
dog,Greenish-yellow nasal discharge,Lack of pigmentation,Sneezing,Lethargy,Pain on face,Yes,собака,"Зеленовато-желтый носовой разряд, Отсутствие пигментации, Чихание, Летаргия, Боль на лице"
dog,Fever,Diarrhea,Poor Appetite,Weight loss,Vomitting,Yes,собака,"Высокая температура, Диарея, Плохой аппетит, Потеря веса, Рвота"
dog,Jaundice,Pneumonia ,Lession on the skin,pain ,Vomitting,Yes,собака,"Желтуха, Пневмония , Поражение на коже, боль, Рвота"
dog,Poor coat apperence ,Diarrhea,Vomiting,Weight loss,Dehydration,Yes,собака,"Плохое появление пальто, Диарея, Рвота, Потеря веса, Обезвоживание"
dog,Watering,No appp,Vomiting,Lethargy,Dehydration,Yes,собака,"Полив, Нет приложения, Рвота, Летаргия, Обезвоживание"
dog,Straining,Diarrhea,Vomiting,Weight loss,Blindness,Yes,собака,"Напряжение, Диарея, Рвота, Потеря веса, Слепота"
dog,Upset stomach,Diarrhea,Vomiting,Muscle pain,Muscle stiffness,Yes,собака,"Расстроен желудок, Диарея, Рвота, Мышечная боль, Мышечная жесткость"
dog,Upset stomach,Diarrhea,Coughing,Weight loss,Anaemia,Yes,собака,"Расстроен желудок, Диарея, Кашель, Потеря веса, Анемия"
dog,Allergic Reaction,Poor appetite,Coughing,Weight loss,Distended chest,Yes,собака,"Аллергическая реакция, Плохой аппетит, Кашель, Потеря веса, Расставленный грудь"
dog,Fever,Anoxeria,Weight loss,Lethargy,Pain,Yes,собака,"Высокая температура, Анорексия, Потеря веса, Летаргия, Боль"
dog,Limping,Willnot run to jump,Swelling ,Week legs,Pain on leg,Yes,собака,"Хромающий, Не бегите, чтобы прыгнуть, Припухлость, Недельные ноги, Боль на ноге"
cat,Fever,Eye ulcer,Congestion,Depression,Pink eye,Yes,кот,"Высокая температура, Язва глаз, Скопление, Депрессия, Розовый глаз"
cat,Pnemonia,Loss of  appetite,Eye disharge,Lameness,Arthritis,Yes,кот,"Пневмония, Потеря аппетита, Сброс глаз, Хромота, Артрит"
cat,Fever,Seizures,Hydrophobia,Jaw is dropped,Shyness or aggression,Yes,кот,"Высокая температура, Припадки, Гидрофобия, Челюсть сброшена, Застенчивость или агрессия"
